Naslov	Autor(i)	Godina izdanja	Naklada	Mjesto	ISBN	ADIP-broj	Jezik	Stanje (1-5)		Stanje	
frontiere dello spazio	Bono, P.; Gatland, K	1973	Blandford press	London		301	Talijanski	4			
Boletin de Atronomio Fabra		1957		Barcelona		292	Talijanski	1			
Observazioni Solari (orriche e radio)	Osservatirio Astronomico di trieste	1967	Osservatirio Astronomico di trieste	Trieste		291	Talijanski	3			
Osservatorio Astronomico di trieste	Ministro della Pubblica Istruzione	1956	Ministro della Pubblica Istruzione	Roma		295	Talijanski	4			
Annuario Astronomico	Osservatirio Astronomico di trieste	1960	Osservatirio Astronomico di trieste	Trieste		293	Talijanski	4			
Annuario Astronomico	Osservatirio Astronomico di trieste	1970	Osservatirio Astronomico di trieste	Trieste		293	Talijanski	4			
Osservare i Pianeti	Falorni, M.; Tanga, P.	1956	i quaderni di astronomia			296	Talijanski	4			
Le piu belle pagine di Astronomia Popolare	Gabba, L.	1941	ulrico Hoepli	Milano		303	Talijanski	3			
Almanacco	Cester, B.	1988	i quaderni di astronomia			290	Talijanski	4			
Corso di Astronomia	Hack, M.	1973	Osservatirio Astronomico di trieste	Trieste		302	Talijanski	4			
